max_moisture,temperature
4.85,0.0
4.89,0.1
4.92,0.2
4.96,0.3
4.99,0.4
5.02,0.5
5.06,0.6
5.09,0.7
5.13,0.8
5.16,0.9
5.2,1.0
5.24,1.1
5.27,1.2
5.31,1.3
5.34,1.4
5.38,1.5
5.42,1.6
5.45,1.7
5.49,1.8
5.53,1.9
5.57,2.0
5.6,2.1
5.64,2.2
5.68,2.3
5.72,2.4
5.76,2.5
5.8,2.6
5.84,2.7
5.88,2.8
5.92,2.9
5.96,3.0
6.0,3.1
6.04,3.2
6.08,3.3
6.12,3.4
6.16,3.5
6.2,3.6
6.24,3.7
6.29,3.8
6.33,3.9
6.37,4.0
6.41,4.1
6.46,4.2
6.5,4.3
6.54,4.4
6.59,4.5
6.63,4.6
6.67,4.7
6.72,4.8
6.76,4.9
6.81,5.0
6.85,5.1
6.9,5.2
6.94,5.3
6.99,5.4
7.04,5.5
7.08,5.6
7.13,5.7
7.18,5.8
7.22,5.9
7.27,6.0
7.32,6.1
7.37,6.2
7.42,6.3
7.46,6.4
7.51,6.5
7.56,6.6
7.61,6.7
7.66,6.8
7.71,6.9
7.76,7.0
7.81,7.1
7.86,7.2
7.92,7.3
7.97,7.4
8.02,7.5
8.07,7.6
8.12,7.7
8.18,7.8
8.23,7.9
8.28,8.0
8.34,8.1
8.39,8.2
8.44,8.3
8.5,8.4
8.55,8.5
8.61,8.6
8.66,8.7
8.72,8.8
8.78,8.9
8.83,9.0
8.89,9.1
8.95,9.2
9.0,9.3
9.06,9.4
9.12,9.5
9.18,9.6
9.24,9.7
9.29,9.8
9.35,9.9
9.41,10.0
9.47,10.1
9.53,10.2
9.59,10.3
9.66,10.4
9.72,10.5
9.78,10.6
9.84,10.7
9.9,10.8
9.97,10.9
10.0,11.0
10.1,11.1
10.2,11.2
10.2,11.3
10.3,11.4
10.3,11.5
10.4,11.6
10.5,11.7
10.5,11.8
10.6,11.9
10.7,12.0
10.7,12.1
10.8,12.2
10.9,12.3
10.9,12.4
11.0,12.5
11.1,12.6
11.2,12.7
11.2,12.8
11.3,12.9
11.4,13.0
11.4,13.1
11.5,13.2
11.6,13.3
11.6,13.4
11.7,13.5
11.8,13.6
11.9,13.7
11.9,13.8
12.0,13.9
12.1,14.0
12.2,14.1
12.2,14.2
12.3,14.3
12.4,14.4
12.5,14.5
12.5,14.6
12.6,14.7
12.7,14.8
12.8,14.9
12.8,15.0
12.9,15.1
13.0,15.2
13.1,15.3
13.2,15.4
13.2,15.5
13.3,15.6
13.4,15.7
13.5,15.8
13.6,15.9
13.6,16.0
13.7,16.1
13.8,16.2
13.9,16.3
14.0,16.4
14.1,16.5
14.2,16.6
14.2,16.7
14.3,16.8
14.4,16.9
14.5,17.0
14.6,17.1
14.7,17.2
14.8,17.3
14.8,17.4
14.9,17.5
15.0,17.6
15.1,17.7
15.2,17.8
15.3,17.9
15.4,18.0
15.5,18.1
15.6,18.2
15.7,18.3
15.8,18.4
15.9,18.5
15.9,18.6
16.0,18.7
16.1,18.8
16.2,18.9
16.3,19.0
16.4,19.1
16.5,19.2
16.6,19.3
16.7,19.4
16.8,19.5
16.9,19.6
17.0,19.7
17.1,19.8
17.2,19.9
17.3,20.0
17.4,20.1
17.5,20.2
17.6,20.3
17.7,20.4
17.8,20.5
17.9,20.6
18.0,20.7
18.1,20.8
18.2,20.9
18.4,21.0
18.5,21.1
18.6,21.2
18.7,21.3
18.8,21.4
18.9,21.5
19.0,21.6
19.1,21.7
19.2,21.8
19.3,21.9
19.4,22.0
19.6,22.1
19.7,22.2
19.8,22.3
19.9,22.4
20.0,22.5
20.1,22.6
20.2,22.7
20.4,22.8
20.5,22.9
20.6,23.0
20.7,23.1
20.8,23.2
20.9,23.3
21.1,23.4
21.2,23.5
21.3,23.6
21.4,23.7
21.6,23.8
21.7,23.9
21.8,24.0
21.9,24.1
22.0,24.2
22.2,24.3
22.3,24.4
22.4,24.5
22.5,24.6
22.7,24.7
22.8,24.8
22.9,24.9
23.1,25.0
23.2,25.1
23.3,25.2
23.5,25.3
23.6,25.4
23.7,25.5
23.9,25.6
24.0,25.7
24.1,25.8
24.3,25.9
24.4,26.0
24.5,26.1
24.7,26.2
